(5, 0, 0) 	 1
(15, 0, 0) 	 1
(0, 5, 0) 	 -7.83333e-14
(10, 5, 0) 	 -1.56667e-13
(20, 5, 0) 	 -7.83333e-14
(5, 10, 0) 	 1
(15, 10, 0) 	 1
(0, 0, 5) 	 1
(10, 0, 5) 	 1
(20, 0, 5) 	 1
(0, 10, 5) 	 1
(10, 10, 5) 	 1
(20, 10, 5) 	 1
(5, 0, 10) 	 1
(15, 0, 10) 	 1
(0, 5, 10) 	 10
(10, 5, 10) 	 10
(20, 5, 10) 	 10
(5, 10, 10) 	 1
(15, 10, 10) 	 1
(0, 0, 15) 	 1
(10, 0, 15) 	 1
(20, 0, 15) 	 1
(0, 10, 15) 	 1
(10, 10, 15) 	 1
(20, 10, 15) 	 1
(5, 0, 20) 	 1
(15, 0, 20) 	 1
(0, 5, 20) 	 20
(10, 5, 20) 	 20
(20, 5, 20) 	 20
(5, 10, 20) 	 1
(15, 10, 20) 	 1
